iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
KHM,Asia,Cambodia,2022-03-03,131372.0,368.0,396.143,3033.0,1.0,1.0,7752.186,21.715,23.376,178.976,0.059,0.059,,,,,,,,,,3064.0,2866490.0,169.15,0.181,2020.0,0.119,0.1961,5.1,tests performed,,,,,,,,,,,,,,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
KHM,Asia,Cambodia,2022-03-04,131738.0,366.0,380.0,3038.0,5.0,1.571,7773.783,21.597,22.424,179.271,0.295,0.093,,,,,,,,,,5268.0,2871758.0,169.461,0.311,2402.0,0.142,,,tests performed,,,,,,,,,,,,,,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
KHM,Asia,Cambodia,2022-03-05,132072.0,334.0,360.571,3040.0,2.0,1.143,7793.493,19.709,21.277,179.389,0.118,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,2022-03-01,119240.0,0.0,19.0,1923.0,0.0,0.429,4379.917,0.0,0.698,70.636,0.0,0.016,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CMR,Africa,Cameroon,2022-03-02,119240.0,0.0,19.0,1923.0,0.0,0.429,4379.917,0.0,0.698,70.636,0.0,0.016,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CMR,Africa,Cameroon,2022-03-03,119322.0,82.0,11.714,1926.0,3.0,0.429,4382.929,3.012,0.43,70.746,0.11,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CMR,Africa,Cameroon,2022-03-04,119322.0,0.0,11.714,1926.0,0.0,0.429,4382.929,0.0,0.43,70.746,0.0,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CMR,Africa,Cameroon,2022-03-05,119322.0,0.0,11.714,1926.0,0.0,0.429,4382.929,0.0,0.43,70.746,0.0,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,2022-03-01,3307144.0,4744.0,6072.857,36706.0,18.0,45.857,86874.844,124.619,159.527,964.224,0.473,1.205,0.84,607.0,15.945,5095.0,133.84,,,,,37824.0,58276405.0,1530.854,0.994,50801.0,1.334,0.1195,8.4,tests performed,,,,,,94865.0,,,,,2492.0,5268.0,0.014,,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2022-03-02,3313423.0,6279.0,5533.0,36776.0,70.0,44.0,87039.786,164.942,145.346,966.063,1.839,1.156,0.84,604.0,15.866,4973.0,130.635,,,,,43128.0,58319533.0,1531.987,1.133,48271.0,1.268,0.1146,8.7,tests performed,81297184.0,32582087.0,30927939.0,17787158.0,,90773.0,213.56,85.59,81.24,46.72,2385.0,5737.0,0.015,,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2022-03-03,3321281.0,7858.0,5873.571,36845.0,69.0,48.429,87246.207,206.421,154.292,967.875,1.813,1.272,,584.0,15.341,4880.0,128.192,,,,,35777.0,58355310.0,1532.926,0.94,46162.0,1.213,0.1272,7.9,tests performed,,,,,,86201.0,,,,,2264.0,4290.0,0.011,,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2022-03-04,3331281.0,10000.0,6028.0,36957.0,112.0,49.714,87508.895,262.688,158.349,970.818,2.942,1.306,,580.0,15.236,4776.0,125.46,,,,,,,,,,,,,,81358416.0,32591539.0,30944626.0,17822251.0,,81273.0,213.72,85.61,81.29,46.82,2135.0,4790.0,0.013,,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2022-03-05,3334009.0,2728.0,6201.143,36998.0,41.0,55.0,87580.556,71.661,162.897,971.895,1.077,1.445,,571.0,15.0,4750.0,124.777,,,,,,,,,,,,,,81378228.0,32594730.0,30950154.0,17833344.0,19812.0,77622.0,213.77,85.62,81.3,46.85,2039.0,4470.0,0.012,,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,2022-03-01,55887.0,1.0,3.286,401.0,0.0,0.0,99460.581,1.78,5.847,713.649,0.0,0.0,0.41,,,,,,,,,338.0,,,0.602,,,,,tests performed,,,,,,,,,,,,,,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CPV,Africa,Cape Verde,2022-03-02,55889.0,2.0,2.714,401.0,0.0,0.0,99464.14,3.559,4.831,713.649,0.0,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CPV,Africa,Cape Verde,2022-03-03,55889.0,0.0,1.857,401.0,0.0,0.0,99464.14,0.0,3.305,713.649,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CPV,Africa,Cape Verde,2022-03-04,55890.0,1.0,1.429,401.0,0.0,0.0,99465.92,1.78,2.542,713.649,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
